Year,NDVI_district,NDVI_district_crop_mask,Obs_yield,Total_production,Total_area,Irrigated_area,Irrigated_production,Unirrigated_area,Unirrigated_production,Simulated_yield,Simulated_yield_sd,Simulated_yield_allyears,Simulated_yield_allyears_sd,Crop,Province,District_id,District_name_ts
1982,NaN,NaN,0.819313467,217.2,265.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Punjab,601,Attock
1983,0.194599999,0.181941538,0.993148078,260.9,262.7,NaN,NaN,NaN,NaN,1.31,0.28,1.3,0.29,wheat,Punjab,601,Attock
1984,0.181400001,0.148863077,0.868621937,216.2,248.9,NaN,NaN,NaN,NaN,1,0.27,0.99,0.28,wheat,Punjab,601,Attock
1985,0.138099997,0.154396924,0.922981366,148.6,161,NaN,NaN,NaN,NaN,1.05,0.27,1.04,0.28,wheat,Punjab,601,Attock
1986,0.2108,0.187786154,1.323085847,228.1,172.4,NaN,NaN,NaN,NaN,1.35,0.29,1.35,0.28,wheat,Punjab,601,Attock
1987,0.179900002,0.173596923,1.069088743,179.5,167.9,NaN,NaN,NaN,NaN,1.22,0.28,1.22,0.29,wheat,Punjab,601,Attock
1988,0.139500001,0.133470769,0.852142857,119.3,140,NaN,NaN,NaN,NaN,0.85,0.26,0.85,0.26,wheat,Punjab,601,Attock
1989,0.161999999,0.159678462,1.101956135,185.9,168.7,NaN,NaN,NaN,NaN,1.09,0.28,1.09,0.28,wheat,Punjab,601,Attock
1990,0.192900001,0.164646154,1.224276032,198.7,162.3,NaN,NaN,NaN,NaN,1.13,0.28,1.14,0.29,wheat,Punjab,601,Attock
1991,0.214299999,0.195472308,1.363057325,214,157,NaN,NaN,NaN,NaN,1.42,0.3,1.43,0.3,wheat,Punjab,601,Attock
1992,0.177200001,0.161232308,1.391950464,224.8,161.5,NaN,NaN,NaN,NaN,1.09,0.27,1.11,0.28,wheat,Punjab,601,Attock
1993,0.200499998,0.186295384,1.293550332,214.6,165.9,NaN,NaN,NaN,NaN,1.34,0.29,1.34,0.3,wheat,Punjab,601,Attock
1994,0.133599999,0.143921538,1.089419795,159.6,146.5,NaN,NaN,NaN,NaN,0.93,0.28,0.94,0.27,wheat,Punjab,601,Attock
1995,0.207777778,NaN,1.214100906,187.7,154.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Punjab,601,Attock
1996,0.207499999,0.184972308,1.453764861,220.1,151.4,NaN,NaN,NaN,NaN,1.32,0.28,1.33,0.3,wheat,Punjab,601,Attock
1997,0.1825,0.171475385,1.025032092,159.7,155.8,NaN,NaN,NaN,NaN,1.21,0.28,1.2,0.28,wheat,Punjab,601,Attock
1998,0.2175,0.222201539,1.713828425,267.7,156.2,NaN,NaN,NaN,NaN,1.67,0.33,1.68,0.33,wheat,Punjab,601,Attock
1999,0.191799998,0.196130769,1.527498448,246.08,161.1,NaN,NaN,NaN,NaN,1.42,0.31,1.43,0.31,wheat,Punjab,601,Attock
2000,0.151200002,0.183244615,1.467831754,247.77,168.8,NaN,NaN,NaN,NaN,1.3,0.29,1.31,0.29,wheat,Punjab,601,Attock
2001,0.116099998,0.125015385,0.685734463,97.1,141.6,NaN,NaN,NaN,NaN,0.78,0.27,0.77,0.24,wheat,Punjab,601,Attock
2002,0.130199999,0.138863077,0.779889153,98.5,126.3,NaN,NaN,NaN,NaN,0.91,0.28,0.9,0.26,wheat,Punjab,601,Attock
2003,0.164699998,0.186135384,1.524628616,195,127.9,NaN,NaN,NaN,NaN,1.33,0.29,1.34,0.3,wheat,Punjab,601,Attock
2004,0.183299999,0.167655384,1.333094556,186.1,139.6,NaN,NaN,NaN,NaN,1.16,0.27,1.17,0.28,wheat,Punjab,601,Attock
2005,0.200899999,0.230046154,1.865580448,274.8,147.3,NaN,NaN,NaN,NaN,1.73,0.33,1.75,0.33,wheat,Punjab,601,Attock
2006,0.168,0.170909231,1.666666667,249.5,149.7,NaN,NaN,NaN,NaN,1.18,0.26,1.2,0.28,wheat,Punjab,601,Attock
2007,0.214900002,0.236167693,2.029077118,321,158.2,NaN,NaN,NaN,NaN,1.77,0.34,1.81,0.34,wheat,Punjab,601,Attock
2008,0.187500004,0.200341538,1.275796178,200.3,157,NaN,NaN,NaN,NaN,1.47,0.3,1.47,0.29,wheat,Punjab,601,Attock
2009,0.2103,0.230192308,1.703910615,274.5,161.1,NaN,NaN,NaN,NaN,1.75,0.34,1.75,0.35,wheat,Punjab,601,Attock
2010,0.140100001,0.145478462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.96,0.27,wheat,Punjab,601,Attock
2011,0.1975,0.205572308,1.62195122,252.7,155.8,42.9,16.6,209.8,139.2,1.51,0.32,1.52,0.31,wheat,Punjab,601,Attock
2012,0.142400001,0.175250769,1.075289575,167.1,155.4,28.8,14.2,138.3,141.2,1.24,0.29,1.24,0.29,wheat,Punjab,601,Attock
2013,0.197999999,0.212246154,1.055840822,164.5,155.8,36.2,14.2,128.3,141.6,1.61,0.28,1.58,0.32,wheat,Punjab,601,Attock
2014,0.201800001,0.213950769,1.372093023,218.3,159.1,31.3,14.2,187.1,144.9,1.61,0.32,1.6,0.32,wheat,Punjab,601,Attock
2015,0.2236,0.223141538,1.733425494,300.94,173.61,35.2,16.59,265.74,157.02,1.67,0.34,1.68,0.34,wheat,Punjab,601,Attock
2016,0.223899996,0.225303076,1.785322469,335.23,187.77,43.37,14.57,291.86,173.2,1.69,0.35,1.7,0.34,wheat,Punjab,601,Attock
2017,0.2064,0.186032308,1.354674595,205.03,151.35,53.23,23.07,151.8,128.28,1.33,0.3,1.34,0.31,wheat,Punjab,601,Attock
2018,0.206999998,0.210132307,1.474264949,223.13,151.35,46.51,16.59,176.62,134.76,1.56,0.31,1.56,0.32,wheat,Punjab,601,Attock
2019,0.2152,0.233893846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78,0.33,wheat,Punjab,601,Attock
2020,0.221899998,0.23642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.81,0.34,wheat,Punjab,601,Attock
2021,0.210699999,0.221904615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.67,0.34,wheat,Punjab,601,Attock
1982,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Balochistan,701,Awaran
1983,0.0185,0.011473568,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.22,0.2,wheat,Balochistan,701,Awaran
1984,0.029500001,0.024310573,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.37,0.23,wheat,Balochistan,701,Awaran
1985,0.0215,0.017645375,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.29,0.21,wheat,Balochistan,701,Awaran
1986,0.036,0.008030837,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.18,0.2,wheat,Balochistan,701,Awaran
1987,0.007,0.010837004,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.21,0.2,wheat,Balochistan,701,Awaran
1988,0.018999999,0.020638767,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.33,0.23,wheat,Balochistan,701,Awaran
1989,0.0245,0.021213657,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.34,0.23,wheat,Balochistan,701,Awaran
1990,0.0175,0.018832599,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.31,0.21,wheat,Balochistan,701,Awaran
1991,0.030499999,0.024515419,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.37,0.24,wheat,Balochistan,701,Awaran
1992,0.022,0.01946696,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.31,0.22,wheat,Balochistan,701,Awaran
1993,0.033500001,0.033237886,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.48,0.27,wheat,Balochistan,701,Awaran
1994,0.035499999,0.031513216,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.46,0.26,wheat,Balochistan,701,Awaran
1995,0.0485,0.040856828,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.57,0.29,wheat,Balochistan,701,Awaran
1996,0.026,0.015949339,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.27,0.22,wheat,Balochistan,701,Awaran
1997,0.029000001,0.019037445,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.31,0.22,wheat,Balochistan,701,Awaran
1998,0.0525,0.039325991,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.55,0.29,wheat,Balochistan,701,Awaran
1999,0.029,0.029319383,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.43,0.25,wheat,Balochistan,701,Awaran
2000,0.013,0.009828194,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.2,0.2,wheat,Balochistan,701,Awaran
2001,0.028,0.029874449,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.44,0.26,wheat,Balochistan,701,Awaran
2002,0.025,0.022136564,1.23015873,15.5,12.6,NaN,NaN,NaN,NaN,1.39,0.25,1.35,0.23,wheat,Balochistan,701,Awaran
2003,0.0245,0.02260793,1.447761194,9.7,6.7,NaN,NaN,NaN,NaN,1.34,0.27,1.35,0.22,wheat,Balochistan,701,Awaran
2004,0.045,0.030643172,1.490196078,7.6,5.1,NaN,NaN,NaN,NaN,1.46,0.28,1.45,0.26,wheat,Balochistan,701,Awaran
2005,0.023,0.025801762,1.509803922,7.7,5.1,NaN,NaN,NaN,NaN,1.38,0.27,1.39,0.25,wheat,Balochistan,701,Awaran
2006,0.018499999,0.024953745,1.025641026,4,3.9,NaN,NaN,NaN,NaN,1.46,0.17,1.38,0.23,wheat,Balochistan,701,Awaran
2007,0.043500001,0.03403304,1.533333333,6.9,4.5,NaN,NaN,NaN,NaN,1.5,0.3,1.49,0.26,wheat,Balochistan,701,Awaran
2008,0.063000001,0.052678414,1.568627451,24,15.3,NaN,NaN,NaN,NaN,1.92,0.46,1.71,0.35,wheat,Balochistan,701,Awaran
2009,0.059500001,0.039094714,1.511494253,26.3,17.4,NaN,NaN,NaN,NaN,1.58,0.32,1.55,0.29,wheat,Balochistan,701,Awaran
2010,0.031,0.03934141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.55,0.28,wheat,Balochistan,701,Awaran
2011,0.0395,0.039552863,1.641666667,19.7,12,17.4,9.9,2.3,2,1.56,0.3,1.55,0.29,wheat,Balochistan,701,Awaran
2012,0.064999999,0.0395,1.612403101,20.8,12.9,17.7,10.1,3.1,2.8,1.57,0.32,1.55,0.29,wheat,Balochistan,701,Awaran
2013,0.033,0.032427313,1.674242424,22.1,13.2,19.2,10.7,2.8,2.5,1.47,0.25,1.47,0.27,wheat,Balochistan,701,Awaran
2014,0.037,0.035409692,1.701492537,22.8,13.4,20.5,11.4,2.3,2.1,1.51,0.28,1.51,0.26,wheat,Balochistan,701,Awaran
2015,0.032500001,0.033909692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.49,0.25,wheat,Balochistan,701,Awaran
2016,0.029999999,0.031689427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.46,0.26,wheat,Balochistan,701,Awaran
2017,0.031500001,0.032876652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.47,0.26,wheat,Balochistan,701,Awaran
2018,0.031500001,0.033279736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.48,0.27,wheat,Balochistan,701,Awaran
2019,0.031,0.031570485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.46,0.27,wheat,Balochistan,701,Awaran
2020,0.041999999,0.03619163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.51,0.27,wheat,Balochistan,701,Awaran
2021,0.041999999,0.036570485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.52,0.28,wheat,Balochistan,701,Awaran
1982,NaN,NaN,1.844106464,48.5,26.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Sindh,801,Badin
1983,0.142199999,0.097213333,1.278873239,45.4,35.5,NaN,NaN,NaN,NaN,0.93,0.49,0.98,0.45,wheat,Sindh,801,Badin
1984,0.162600002,0.114516667,1.287323944,45.7,35.5,NaN,NaN,NaN,NaN,1.36,0.53,1.35,0.46,wheat,Sindh,801,Badin
1985,0.100799999,0.108756667,0.93498452,30.2,32.3,NaN,NaN,NaN,NaN,1.25,0.48,1.23,0.45,wheat,Sindh,801,Badin
1986,0.082200001,0.12629,1.108359133,35.8,32.3,NaN,NaN,NaN,NaN,1.64,0.5,1.6,0.49,wheat,Sindh,801,Badin
1987,0.149999997,0.12093,1.245714286,43.6,35,NaN,NaN,NaN,NaN,1.51,0.51,1.49,0.48,wheat,Sindh,801,Badin
1988,0.137800001,0.11507,1.362857143,47.7,35,NaN,NaN,NaN,NaN,1.37,0.5,1.37,0.46,wheat,Sindh,801,Badin
1989,0.1884,0.122433334,1.669030733,70.6,42.3,NaN,NaN,NaN,NaN,1.53,0.51,1.52,0.5,wheat,Sindh,801,Badin
1990,0.168600002,0.11717,1.289215686,52.6,40.8,NaN,NaN,NaN,NaN,1.43,0.51,1.41,0.45,wheat,Sindh,801,Badin
1991,0.160800001,0.106516667,1.423728814,58.8,41.3,NaN,NaN,NaN,NaN,1.16,0.49,1.18,0.44,wheat,Sindh,801,Badin
1992,0.155200005,0.101953334,1.611510791,67.2,41.7,NaN,NaN,NaN,NaN,1.02,0.46,1.09,0.43,wheat,Sindh,801,Badin
1993,0.202199998,0.11438,1.514084507,64.5,42.6,NaN,NaN,NaN,NaN,1.35,0.49,1.35,0.46,wheat,Sindh,801,Badin
1994,0.212999997,0.120443334,0.948717949,40.7,42.9,NaN,NaN,NaN,NaN,1.52,0.5,1.48,0.46,wheat,Sindh,801,Badin
1995,0.2315,NaN,1.431677019,46.1,32.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Sindh,801,Badin
1996,0.171799999,0.115633333,1.452095808,48.5,33.4,NaN,NaN,NaN,NaN,1.38,0.51,1.38,0.47,wheat,Sindh,801,Badin
1997,0.179399997,0.137006667,1.630177515,55.1,33.8,NaN,NaN,NaN,NaN,1.87,0.53,1.83,0.5,wheat,Sindh,801,Badin
1998,0.199400005,0.141206667,1.498461538,48.7,32.5,NaN,NaN,NaN,NaN,1.97,0.51,1.92,0.51,wheat,Sindh,801,Badin
1999,0.245800003,0.139596666,1.601719198,55.9,34.9,NaN,NaN,NaN,NaN,1.93,0.54,1.89,0.51,wheat,Sindh,801,Badin
2000,0.184199998,0.11335,1.809116809,63.5,35.1,NaN,NaN,NaN,NaN,1.3,0.49,1.33,0.47,wheat,Sindh,801,Badin
2001,0.1634,0.13191,1.507042254,32.1,21.3,NaN,NaN,NaN,NaN,1.76,0.56,1.72,0.48,wheat,Sindh,801,Badin
2002,0.140599997,0.124473334,1.577981651,34.4,21.8,NaN,NaN,NaN,NaN,1.58,0.53,1.57,0.49,wheat,Sindh,801,Badin
2003,0.139200002,0.125246667,1.366666667,24.6,18,NaN,NaN,NaN,NaN,1.61,0.5,1.58,0.47,wheat,Sindh,801,Badin
2004,0.206599998,0.14727,1.581081081,35.1,22.2,NaN,NaN,NaN,NaN,2.11,0.54,2.05,0.54,wheat,Sindh,801,Badin
2005,0.189399999,0.153203333,2.227758007,62.6,28.1,NaN,NaN,NaN,NaN,2.22,0.59,2.18,0.54,wheat,Sindh,801,Badin
2006,0.190799999,0.164036667,2.294498382,70.9,30.9,NaN,NaN,NaN,NaN,2.48,0.6,2.41,0.54,wheat,Sindh,801,Badin
2007,0.216,0.17284,2.713780919,76.8,28.3,NaN,NaN,NaN,NaN,2.66,0.64,2.6,0.58,wheat,Sindh,801,Badin
2008,0.206,0.180270001,2.643097643,78.5,29.7,NaN,NaN,NaN,NaN,2.86,0.67,2.76,0.57,wheat,Sindh,801,Badin
2009,0.153799999,0.164146667,2.792792793,93,33.3,NaN,NaN,NaN,NaN,2.44,0.61,2.41,0.55,wheat,Sindh,801,Badin
2010,0.194600001,0.17612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.67,0.61,wheat,Sindh,801,Badin
2011,0.232399997,0.192173334,2.968085106,111.6,37.6,111,36.8,0.6,0.8,3.13,0.73,3.01,0.62,wheat,Sindh,801,Badin
2012,0.193400002,0.148276667,2.738410596,82.7,30.2,82.2,29.5,0.5,0.7,2.08,0.54,2.07,0.51,wheat,Sindh,801,Badin
2013,0.205000001,0.161553334,3.063768116,105.7,34.5,105.2,33.8,0.5,0.7,2.36,0.57,2.36,0.56,wheat,Sindh,801,Badin
2014,0.177400002,0.157266667,3.040983607,111.3,36.6,110.7,35.8,0.6,0.8,2.27,0.53,2.27,0.53,wheat,Sindh,801,Badin
2015,0.180799997,0.160613334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.34,0.56,wheat,Sindh,801,Badin
2016,0.196799999,0.161753334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.36,0.56,wheat,Sindh,801,Badin
2017,0.1684,0.16093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.34,0.55,wheat,Sindh,801,Badin
2018,0.162000002,0.156066667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24,0.53,wheat,Sindh,801,Badin
2019,0.125799999,0.149926667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.11,0.54,wheat,Sindh,801,Badin
2020,0.187800002,0.17508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.65,0.58,wheat,Sindh,801,Badin
2021,0.216,0.172796666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6,0.59,wheat,Sindh,801,Badin
1982,NaN,NaN,1.372890026,268.4,195.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Punjab,602,Bahawalnagar
1983,0.272999992,0.206720143,1.568007663,327.4,208.8,NaN,NaN,NaN,NaN,1.36,0.2,1.39,0.19,wheat,Punjab,602,Bahawalnagar
1984,0.285666664,0.215786096,1.33992467,284.6,212.4,NaN,NaN,NaN,NaN,1.49,0.19,1.48,0.19,wheat,Punjab,602,Bahawalnagar
1985,0.274999996,0.245221034,1.387667304,290.3,209.2,NaN,NaN,NaN,NaN,1.79,0.19,1.76,0.2,wheat,Punjab,602,Bahawalnagar
1986,0.369333337,0.252536542,1.920150305,408.8,212.9,NaN,NaN,NaN,NaN,1.83,0.21,1.84,0.2,wheat,Punjab,602,Bahawalnagar
1987,0.316666673,0.245413548,1.565087495,366.7,234.3,NaN,NaN,NaN,NaN,1.78,0.2,1.77,0.2,wheat,Punjab,602,Bahawalnagar
1988,0.277333329,0.245174688,1.608621426,376.9,234.3,NaN,NaN,NaN,NaN,1.77,0.19,1.76,0.19,wheat,Punjab,602,Bahawalnagar
1989,0.267,0.230891265,1.708850621,426.7,249.7,NaN,NaN,NaN,NaN,1.62,0.2,1.62,0.2,wheat,Punjab,602,Bahawalnagar
1990,0.198666667,0.24175401,1.703808752,420.5,246.8,NaN,NaN,NaN,NaN,1.73,0.2,1.73,0.19,wheat,Punjab,602,Bahawalnagar
1991,0.223333334,0.233201425,1.71712356,432.2,251.7,NaN,NaN,NaN,NaN,1.64,0.2,1.65,0.19,wheat,Punjab,602,Bahawalnagar
1992,0.226999993,0.223989305,1.755280988,440.4,250.9,NaN,NaN,NaN,NaN,1.54,0.19,1.56,0.19,wheat,Punjab,602,Bahawalnagar
1993,0.301333328,0.251479501,1.845204934,463.7,251.3,NaN,NaN,NaN,NaN,1.83,0.2,1.83,0.19,wheat,Punjab,602,Bahawalnagar
1994,0.308333327,0.253089126,1.799227799,466,259,NaN,NaN,NaN,NaN,1.84,0.2,1.84,0.2,wheat,Punjab,602,Bahawalnagar
1995,0.327333331,0.316030303,2.245658466,620.7,276.4,NaN,NaN,NaN,NaN,2.47,0.22,2.46,0.22,wheat,Punjab,602,Bahawalnagar
1996,0.443666677,0.286203208,2.079886886,588.4,282.9,NaN,NaN,NaN,NaN,2.17,0.21,2.16,0.21,wheat,Punjab,602,Bahawalnagar
1997,0.386666665,0.261766488,1.964377525,534.9,272.3,NaN,NaN,NaN,NaN,1.93,0.2,1.93,0.21,wheat,Punjab,602,Bahawalnagar
1998,0.411000003,0.285376114,2.154605263,589.5,273.6,NaN,NaN,NaN,NaN,2.16,0.22,2.16,0.22,wheat,Punjab,602,Bahawalnagar
1999,0.438333333,0.290351158,2.024963289,551.6,272.4,NaN,NaN,NaN,NaN,2.22,0.21,2.21,0.22,wheat,Punjab,602,Bahawalnagar
2000,0.448000004,0.277918004,2.497348887,706.5,282.9,NaN,NaN,NaN,NaN,2.07,0.18,2.08,0.2,wheat,Punjab,602,Bahawalnagar
2001,0.423666666,0.291087344,2.333567663,663.9,284.5,NaN,NaN,NaN,NaN,2.21,0.21,2.21,0.22,wheat,Punjab,602,Bahawalnagar
2002,0.426333328,0.292037434,2.155665372,610.7,283.3,NaN,NaN,NaN,NaN,2.23,0.22,2.22,0.21,wheat,Punjab,602,Bahawalnagar
2003,0.345999996,0.295745098,2.466098687,694.7,281.7,NaN,NaN,NaN,NaN,2.26,0.22,2.26,0.21,wheat,Punjab,602,Bahawalnagar
2004,0.395666659,0.341606061,2.563902107,754.3,294.2,NaN,NaN,NaN,NaN,2.72,0.22,2.71,0.23,wheat,Punjab,602,Bahawalnagar
2005,0.410666664,0.347424243,2.712018906,803.3,296.2,NaN,NaN,NaN,NaN,2.78,0.24,2.76,0.24,wheat,Punjab,602,Bahawalnagar
2006,0.371000002,0.309987522,2.479295729,760.4,306.7,NaN,NaN,NaN,NaN,2.4,0.22,2.4,0.23,wheat,Punjab,602,Bahawalnagar
2007,0.428333332,0.353534759,3.0263329,930.9,307.6,NaN,NaN,NaN,NaN,2.82,0.24,2.82,0.24,wheat,Punjab,602,Bahawalnagar
2008,0.362666676,0.351322638,2.562615101,834.9,325.8,NaN,NaN,NaN,NaN,2.82,0.23,2.8,0.24,wheat,Punjab,602,Bahawalnagar
2009,0.460000008,0.369046346,2.860115607,989.6,346,NaN,NaN,NaN,NaN,3,0.24,2.97,0.24,wheat,Punjab,602,Bahawalnagar
2010,0.416333328,0.370843138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99,0.23,wheat,Punjab,602,Bahawalnagar
2011,0.440333327,0.396686275,3.122679814,1076.7,344.8,1072.9,341.1,3.8,3.6,3.28,0.25,3.24,0.25,wheat,Punjab,602,Bahawalnagar
2012,0.369333337,0.360509804,2.94142135,989.2,336.3,985.5,332.2,3.7,4.1,2.9,0.24,2.89,0.24,wheat,Punjab,602,Bahawalnagar
2013,0.414000005,0.369655971,2.984216796,1002.1,335.8,998.4,331.8,3.7,4,2.99,0.26,2.98,0.25,wheat,Punjab,602,Bahawalnagar
2014,0.353666663,0.370937611,3.03594316,1089.6,358.9,1085.5,354.5,4,4.4,3,0.25,2.99,0.24,wheat,Punjab,602,Bahawalnagar
2015,0.400666674,0.369770052,3.146371864,1161.2,369.06,1153.44,362.59,7.76,6.47,2.98,0.24,2.98,0.25,wheat,Punjab,602,Bahawalnagar
2016,0.412999998,0.384941176,3.051766418,1132.48,371.09,1124.18,363.4,8.3,7.69,3.15,0.27,3.13,0.24,wheat,Punjab,602,Bahawalnagar
2017,0.38866667,0.381456328,3.359240164,1218.43,362.71,1209.31,355.02,9.12,7.69,3.08,0.23,3.1,0.25,wheat,Punjab,602,Bahawalnagar
2018,0.403333336,0.359942959,3.069092584,1132.71,369.07,1125.43,362.19,7.28,6.88,2.89,0.24,2.89,0.23,wheat,Punjab,602,Bahawalnagar
2019,0.416999996,0.37830303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.06,0.25,wheat,Punjab,602,Bahawalnagar
2020,0.454333335,0.37928164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.07,0.25,wheat,Punjab,602,Bahawalnagar
2021,0.445333332,0.38271123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.11,0.25,wheat,Punjab,602,Bahawalnagar
1982,NaN,NaN,1.544326241,261.3,169.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Punjab,603,Bahawalpur
1983,0.1045,0.106586712,1.802240896,321.7,178.5,NaN,NaN,NaN,NaN,1.41,0.34,1.47,0.31,wheat,Punjab,603,Bahawalpur
1984,0.127583334,0.137638138,1.401506997,260.4,185.8,NaN,NaN,NaN,NaN,1.99,0.32,1.96,0.35,wheat,Punjab,603,Bahawalpur
1985,0.089749999,0.155100601,1.604754008,290.3,180.9,NaN,NaN,NaN,NaN,2.25,0.33,2.23,0.36,wheat,Punjab,603,Bahawalpur
1986,0.160166665,0.121700075,1.870899471,353.6,189,NaN,NaN,NaN,NaN,1.69,0.34,1.71,0.34,wheat,Punjab,603,Bahawalpur
1987,0.113833333,0.132828454,1.748523622,355.3,203.2,NaN,NaN,NaN,NaN,1.89,0.35,1.88,0.34,wheat,Punjab,603,Bahawalpur
1988,0.096416665,0.12801464,1.708854427,341.6,199.9,NaN,NaN,NaN,NaN,1.81,0.35,1.81,0.34,wheat,Punjab,603,Bahawalpur
1989,0.147,0.143535661,1.9693451,424,215.3,NaN,NaN,NaN,NaN,2.05,0.34,2.05,0.36,wheat,Punjab,603,Bahawalpur
1990,0.09825,0.147801051,1.77551963,384.4,216.5,NaN,NaN,NaN,NaN,2.13,0.34,2.11,0.36,wheat,Punjab,603,Bahawalpur
1991,0.137333332,0.138343093,1.765103697,391.5,221.8,NaN,NaN,NaN,NaN,1.98,0.35,1.97,0.35,wheat,Punjab,603,Bahawalpur
1992,0.109916668,0.12723536,2.052877866,438.7,213.7,NaN,NaN,NaN,NaN,1.77,0.35,1.79,0.34,wheat,Punjab,603,Bahawalpur
1993,0.159916666,0.164345345,2.21696638,567.1,255.8,NaN,NaN,NaN,NaN,2.38,0.38,2.37,0.38,wheat,Punjab,603,Bahawalpur
1994,0.120750001,0.151198198,1.900981647,445.4,234.3,NaN,NaN,NaN,NaN,2.18,0.36,2.17,0.37,wheat,Punjab,603,Bahawalpur
1995,0.131,NaN,2.084864392,476.6,228.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Punjab,603,Bahawalpur
1996,0.166499998,0.152771397,1.965106732,478.7,243.6,NaN,NaN,NaN,NaN,2.2,0.36,2.19,0.36,wheat,Punjab,603,Bahawalpur
1997,0.130583331,0.158380631,2.375586854,556.6,234.3,NaN,NaN,NaN,NaN,2.28,0.36,2.28,0.38,wheat,Punjab,603,Bahawalpur
1998,0.176833332,0.177927928,2.190891089,553.2,252.5,NaN,NaN,NaN,NaN,2.6,0.38,2.58,0.38,wheat,Punjab,603,Bahawalpur
1999,0.182416666,0.166632883,2.328244275,579.5,248.9,NaN,NaN,NaN,NaN,2.41,0.38,2.41,0.37,wheat,Punjab,603,Bahawalpur
2000,0.180500002,0.143057433,2.846850245,754.7,265.1,NaN,NaN,NaN,NaN,2,0.3,2.04,0.35,wheat,Punjab,603,Bahawalpur
2001,0.141333334,0.155057057,2.439132034,663.2,271.9,NaN,NaN,NaN,NaN,2.22,0.37,2.23,0.38,wheat,Punjab,603,Bahawalpur
2002,0.161166667,0.158273273,2.363838459,638,269.9,NaN,NaN,NaN,NaN,2.28,0.36,2.28,0.37,wheat,Punjab,603,Bahawalpur
